Clade.name,Clade.age,N.tips,Clade.size,study_code,tree_file,neglnL,lambda,mu,net.div,turn,ef,lambda_lower,mu_lower,net.div_lower,turn_lower,ef_lower,lambda_upper,mu_upper,net.div_upper,turn_upper,ef_upper,tot_bl
Mormoopidae & Phyllostomidae,39.6,61,210,R2013,henaodiaz_etal_trees-master//phylo_R2013_.txt,215.5485422,0.113428842,1.20706230681544e-13,0.113428842,0.113428842,1.06415818943158e-12,0.072563482,1.10445892238544e-13,0.041339846,0.103787118,1.064158e-12,0.232162256,0.069844408,0.232162256,0.232162256,0.430294075,956.5429753
Phymaturus,17.5,37,47,R2018.tr.pr,henaodiaz_etal_trees-master//phylo_R2018.tr.pr_.txt,84.45399079,0.411285423,0.257050192,0.15423523,0.668335615,0.624992228,0.09974112,0.001035426,-0.058774735,0.206794758,0.005032219,1.653801093,0.860449059,1.645478804,1.662123382,1.073314978,146.4736021
Carnivora,48.9,138,288,S2012,henaodiaz_etal_trees-master//phylo_S2012_.txt,393.045968,0.429140372,0.337229593,0.091910779,0.766369966,0.785825839,0.243869471,0.165670751,0.018065402,0.46967354,0.544964577,0.74708841,0.554914656,0.339951691,1.15422513,0.92592184,923.3358882
Poaceae,57.8,3595,11000,S2014.cr,henaodiaz_etal_trees-master//phylo_S2014.cr_.txt,8766.291076,0.86681271,0.675347192,0.191465518,1.542159901,0.77911547,0.796313719,0.61594876,0.151960305,1.440667133,0.74685951,0.967234996,0.755701815,0.244846341,1.68962365,0.809170304,15258.03894
Galliformes,56.8,171,291,S2015.tr.pr,henaodiaz_etal_trees-master//phylo_S2015.tr.pr_.txt,594.1900938,0.130624765,0.045430392,0.085194373,0.176055157,0.3477931,0.055595955,3.01976677662954e-07,0.018698829,0.092493081,3.26486759537337e-06,0.302043564,0.120490913,0.302042578,0.30204455,0.663665655,2092.851649
Columbiformes,24.7,27,315,S2016.cr.pr,henaodiaz_etal_trees-master//phylo_S2016.cr.pr_.txt,90.52260602,0.221846412,0.070589525,0.151256888,0.292435937,0.318190968,0.106421798,0.014450806,0.009875905,0.202967691,0.076655233,1.428629217,0.731649492,1.319117312,1.538141122,0.907200353,388.441501
Elasmobranchii,291.3,585,926,S2018.01.tr.pr,henaodiaz_etal_trees-master//phylo_S2018.01.tr.pr_.txt,2884.323014,0.025891036,0.003340277,0.022550759,0.029231314,0.129012891,0.018395577,0.000405413,0.014032673,0.022758481,0.018136778,0.034016035,0.006639299,0.033399094,0.034632976,0.237171372,30328.4523
Chimaeriformes,187.7,25,47,S2018.02.tr.pr,henaodiaz_etal_trees-master//phylo_S2018.02.tr.pr_.txt,117.767276,0.039610194,0.028651961,0.010958234,0.068262155,0.723348149,0.007744106,0.000170884,-0.010478723,0.016351179,0.010561245,0.196472285,0.104513,0.194397293,0.198547277,1.111435141,1434.934141
Brassicaceae,38.8,222,831,SA2016.tr.pr,henaodiaz_etal_trees-master//phylo_SA2016.tr.pr_.txt,749.7538589,0.14670637,2.49450748340567e-15,0.14670637,0.14670637,1.70034027234259e-14,0.116518897,2.29850560937992e-15,0.097858618,0.135179176,1.70034e-14,0.191997752,0.026503577,0.191997752,0.191997752,0.160148093,2842.123103
Primates,65.1,233,501,SamplePrimates,henaodiaz_etal_trees-master//phylo_SamplePrimates_.txt,691.8977576,0.410153819,0.329782471,0.080371349,0.73993629,0.804045836,0.27046146,0.202240744,0.025042337,0.515880583,0.644818417,0.623919852,0.488209225,0.221604841,1.026234863,0.907408851,1748.230763
